SECCODE,SECNAME,TDATE,TDATE1,MINTIME,STARTPRC,HIGHPRC,LOWPRC,ENDPRC,MINTQ,MINTM,UNIX,MARKET
399300,沪深300 ,2.01E+11,20120903,930,2201.123,2201.123,2201.123,2201.123,13574600,113887816,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,945,2200,2208.416,2198.079,2207.643,246833500,2335316385,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1000,2208.621,2215.369,2207.048,2214.486,288448800,2733611927,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1015,2214.295,2225.451,2213.394,2221.836,358098500,3319902850,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1030,2222.484,2223.123,2217.915,2219.015,257098800,2380433848,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1045,2218.683,2220.521,2215.346,2220.521,186403500,1845875052,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1100,2220.746,2229.277,2219.943,2228.966,236423100,2236311330,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1115,2229.185,2232.622,2226.988,2232.292,207381900,1929835914,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1130,2233.126,2236.429,2229.654,2232.841,283891500,2466062460,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1315,2233.566,2235.646,2230.356,2230.644,210441700,1838616877,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1330,2230.858,2233.471,2228.351,2229.189,195179100,1738937719,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1345,2229.371,2230.954,2226.596,2230.646,163252300,1584293453,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1400,2231.139,2231.997,2229.062,2229.859,149334700,1378779394,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1415,2229.904,2235.126,2229.273,2232.599,235385400,2160578907,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1430,2232.811,2233.599,2224.449,2226.777,295364800,2530764654,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1445,2226.476,2228.587,2226.002,2226.735,191403300,1766257756,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120903,1500,2227.107,2229.81,2227.107,2228.369,336343700,2939710386,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,930,2231.716,2231.716,2231.716,2231.716,13088800,304235551,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,945,2231.656,2234.809,2229.977,2230.725,280772500,3752543399,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1000,2230.765,2232.286,2228.39,2230.928,232127500,2441607204,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1015,2230.74,2230.982,2225.649,2225.678,239025000,2327005603,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1030,2225.922,2229.993,2225.413,2228.913,199043600,1952071729,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1045,2229.429,2229.429,2225.554,2226.165,165359800,1630522991,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1100,2226.619,2231.439,2226.437,2229.264,207685600,1774484754,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1115,2229.593,2231.294,2227.626,2227.626,180948400,1712946284,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1130,2227.669,2228.135,2216.72,2217.25,256278100,2238199990,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1315,2217.269,2217.64,2215.299,2216.591,153698300,1390724504,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1330,2216.785,2216.785,2213.395,2215.741,156380300,1395597927,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1345,2216.147,2220.183,2216.091,2219.102,176691800,1551102668,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1400,2219.543,2219.543,2208.532,2209.22,251436000,2185674352,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1415,2209.317,2212.874,2209.317,2210.812,174136600,1510439437,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1430,2210.919,2211.179,2205.61,2206.692,208203100,1813809685,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1445,2207.298,2207.654,2199.747,2200.588,286861700,2526257467,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120904,1500,2201.282,2204.439,2200.826,2204.407,303531700,2712980377,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,930,2199.743,2199.743,2199.743,2199.743,8504400,68215787,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,945,2199.594,2206.053,2197.762,2203.652,216534700,1980315558,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,1000,2203.434,2203.434,2191.995,2195.486,317246400,2807574904,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,1015,2195.369,2196.131,2190.626,2193.615,267226500,2408928033,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,1030,2193.381,2195.538,2188.037,2188.037,211816800,1894722229,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,1045,2187.809,2193.264,2187.351,2193.117,236173400,2081992662,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,1100,2193.086,2204.533,2192.994,2201.196,276483700,2508033411,1.35E+12,SZSE
399300,沪深300 ,2.01E+11,20120905,1115,2201.538,2209.536,2200.461,2205.735,244962200,2160786674,1.35E+12,SZSE
