SECCODE,SECNAME,TDATE,MINTIME,STARTPRC,HIGHPRC,LOWPRC,ENDPRC,MINTQ,MINTM,UNIX,MARKET
399300,CSI300 ,20120903,1500,2227.107,2229.81,2227.107,2228.369,336343700,2939710386,1.35E+12,SZSE
399300,CSI300 ,20120904,1500,2201.282,2204.439,2200.826,2204.407,303531700,2712980377,1.35E+12,SZSE
399300,CSI300 ,20120905,1500,2196.857,2200.307,2194.992,2199.875,284151100,2485094823,1.35E+12,SZSE
399300,CSI300 ,20120906,1500,2211.19,2218.16,2211.183,2217.823,312602800,2641959305,1.35E+12,SZSE
399300,CSI300 ,20120907,1500,2319.782,2319.782,2312.845,2317.179,577687500,4920611516,1.35E+12,SZSE
399300,CSI300 ,20120910,1500,2320.015,2326.725,2320.015,2326.666,406736400,3864138902,1.35E+12,SZSE
399300,CSI300 ,20120911,1500,2306.623,2312.299,2304.6,2311.89,441564500,4106582173,1.35E+12,SZSE
399300,CSI300 ,20120912,1500,2312.789,2320.504,2312.514,2320.071,486504400,4389135850,1.35E+12,SZSE
399300,CSI300 ,20120913,1500,2314.171,2314.171,2298.461,2298.461,614089900,5655787493,1.35E+12,SZSE
399300,CSI300 ,20120914,1500,2321.454,2321.454,2307.606,2315.542,530800700,4641021606,1.35E+12,SZSE
399300,CSI300 ,20120917,1500,2266.956,2266.956,2258.439,2258.705,529860100,4853270192,1.35E+12,SZSE
399300,CSI300 ,20120918,1500,2230.584,2235.925,2230.584,2235.239,268533800,2507198208,1.35E+12,SZSE
399300,CSI300 ,20120919,1500,2245.102,2248.921,2241.074,2246.236,397499100,3886567467,1.35E+12,SZSE
399300,CSI300 ,20120920,1500,2198.91,2201.845,2195.48,2195.951,503419700,4305527567,1.35E+12,SZSE
399300,CSI300 ,20120921,1500,2202.801,2204.353,2197.015,2199.063,345615200,3013892842,1.35E+12,SZSE
399300,CSI300 ,20120924,1500,2217.743,2217.877,2212.082,2215.516,297539800,2666729126,1.35E+12,SZSE
399300,CSI300 ,20120925,1500,2210.276,2210.276,2208.19,2210.154,240075700,2224852128,1.35E+12,SZSE
399300,CSI300 ,20120926,1500,2183.983,2185.215,2181.37,2184.891,317262300,2807949156,1.35E+12,SZSE
399300,CSI300 ,20120927,1500,2247.62,2251.717,2244.167,2251.717,513097400,4547715569,1.35E+12,SZSE
399300,CSI300 ,20120928,1500,2287.551,2296.672,2286.836,2293.106,737548400,6688591106,1.35E+12,SZSE
399300,CSI300 ,20121008,1500,2262.131,2270.054,2262.057,2270.054,262272200,2277461127,1.35E+12,SZSE
399300,CSI300 ,20121009,1500,2317.445,2320.58,2317.119,2320.157,411001200,3879310500,1.35E+12,SZSE
399300,CSI300 ,20121010,1500,2324.603,2325.598,2321.568,2324.117,416453600,3676351839,1.35E+12,SZSE
399300,CSI300 ,20121011,1500,2305.215,2305.85,2301.073,2302.533,387408600,3308262213,1.35E+12,SZSE
399300,CSI300 ,20121012,1500,2300.471,2308.686,2300.471,2304.531,366729200,3452827998,1.35E+12,SZSE
399300,CSI300 ,20121015,1500,2288.546,2294.983,2288.532,2294.857,301060700,2890209840,1.35E+12,SZSE
399300,CSI300 ,20121016,1500,2294.194,2298.162,2294.194,2298.162,246925300,2352370186,1.35E+12,SZSE
399300,CSI300 ,20121017,1500,2303.657,2304.393,2300.012,2300.803,271391900,2881052466,1.35E+12,SZSE
399300,CSI300 ,20121018,1500,2334.962,2336.077,2331.427,2336.077,423270300,3858143317,1.35E+12,SZSE
399300,CSI300 ,20121019,1500,2332.587,2334.223,2331.472,2332.47,311740500,2921603097,1.35E+12,SZSE
399300,CSI300 ,20121022,1500,2339.583,2342.533,2338.56,2341.592,315818400,3021477999,1.35E+12,SZSE
399300,CSI300 ,20121023,1500,2314.728,2314.858,2309.628,2312.077,426239200,3660333446,1.35E+12,SZSE
399300,CSI300 ,20121024,1500,2307.973,2308.831,2306.209,2307.779,310189200,2591742374,1.35E+12,SZSE
399300,CSI300 ,20121025,1500,2292.995,2295.2,2290.941,2291.239,329188400,2751902717,1.35E+12,SZSE
399300,CSI300 ,20121026,1500,2250.207,2251.599,2245.835,2247.907,330415300,2791592105,1.35E+12,SZSE
399300,CSI300 ,20121029,1500,2232.126,2235.854,2231.788,2235.854,238526700,2245716897,1.35E+12,SZSE
399300,CSI300 ,20121030,1500,2238.171,2240.371,2237.625,2239.882,366775800,2990614378,1.35E+12,SZSE
399300,CSI300 ,20121031,1500,2252.677,2256.095,2252.677,2254.82,394136200,3372948236,1.35E+12,SZSE
399300,CSI300 ,20121101,1500,2297.319,2298.298,2296.485,2297.884,344122800,3190931015,1.35E+12,SZSE
399300,CSI300 ,20121102,1500,2308.57,2309.175,2305.946,2306.774,424502500,3533874544,1.35E+12,SZSE
399300,CSI300 ,20121105,1500,2301.479,2302.451,2299.906,2301.88,342641800,2772531019,1.35E+12,SZSE
399300,CSI300 ,20121106,1500,2291.459,2292.206,2289.512,2292.206,353638100,3291846747,1.35E+12,SZSE
399300,CSI300 ,20121107,1500,2287.892,2288.298,2287.115,2287.505,277429100,2435992127,1.35E+12,SZSE
399300,CSI300 ,20121108,1500,2249.552,2249.7,2245.405,2245.405,475402700,3899003535,1.35E+12,SZSE
399300,CSI300 ,20121109,1500,2237.805,2241.014,2237.605,2240.924,303760000,2343678496,1.35E+12,SZSE
399300,CSI300 ,20121112,1500,2245.459,2251.848,2245.108,2251.848,344875000,2867380721,1.35E+12,SZSE
399300,CSI300 ,20121113,1500,2212.523,2213.674,2211.489,2212.44,312038500,2596419248,1.35E+12,SZSE
399300,CSI300 ,20121114,1500,2221.503,2223.14,2220.48,2223.11,270976700,2384417212,1.35E+12,SZSE
399300,CSI300 ,20121115,1500,2194.796,2195.825,2193.587,2193.623,327804300,2662907803,1.35E+12,SZSE
399300,CSI300 ,20121116,1500,2168.571,2177.24,2168.562,2177.24,328379700,2577154670,1.35E+12,SZSE
399300,CSI300 ,20121119,1500,2174.319,2175.185,2171.169,2174.985,291748800,2709137414,1.35E+12,SZSE
